City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,georgetown,5.4112,100.3354,299.11,93,20,1.03,MY,1724458610
122,hamilton,39.1834,-84.5333,299.77,53,0,0.0,US,1724458871
123,shubarkuduk,49.1447,56.4872,288.52,69,0,3.18,KZ,1724458871
124,fale old settlement,-9.3852,-171.2468,300.68,78,61,8.31,TK,1724458373
125,batticaloa,7.7102,81.6924,299.0,81,98,2.13,LK,1724458773
126,kone,-21.0595,164.8658,297.84,52,64,2.14,NC,1724458872
127,correia pinto,-27.5847,-50.3611,281.18,99,82,0.76,BR,1724458873
128,udachny,66.4167,112.4,289.18,82,100,3.95,RU,1724458873
129,emerald,-23.5333,148.1667,295.56,62,11,3.61,AU,1724458873
130,east london,-33.0153,27.9116,292.03,47,69,7.29,ZA,1724458874
131,lubbock,33.6001,-101.8338,312.29,14,20,8.23,US,1724458874
132,port-vila,-17.7338,168.3219,298.93,69,40,4.63,VU,1724458875
133,bodo,67.28,14.405,288.17,89,75,7.2,NO,1724458301
134,bikenibeu village,1.3673,173.1241,304.13,66,20,4.12,KI,1724458875
135,dunedin,-45.8742,170.5036,288.04,46,12,3.58,NZ,1724458876
136,khash,28.2211,61.2158,296.29,15,0,1.21,IR,1724458876
137,sao joao da barra,-21.6403,-41.0511,296.2,85,1,13.42,BR,1724458876
138,mount gambier,-37.8333,140.7667,289.29,73,46,4.7,AU,1724458877
139,zliten,32.4674,14.5687,300.02,72,8,2.21,LY,1724458877
140,gizo,-8.103,156.8419,300.96,77,99,7.73,SB,1724458878
141,kailua-kona,19.6406,-155.9956,303.13,81,40,5.14,US,1724458317
142,zhigalovo,54.8097,105.1578,286.81,88,20,0.85,RU,1724458878
143,ambodifotatra,-16.9833,49.85,295.32,80,6,6.36,MG,1724458879
144,johi,26.6921,67.6133,306.31,62,2,3.51,PK,1724458879
145,hithadhoo,-0.6,73.0833,301.39,74,28,2.28,MV,1724458880
146,westport,41.1415,-73.3579,295.82,73,3,3.58,US,1724458606
147,songea,-10.6833,35.65,289.22,59,90,2.55,TZ,1724458880
148,port mathurin,-19.6833,63.4167,296.21,88,100,4.59,MU,1724458881
149,happy valley-goose bay,53.3168,-60.3315,292.32,68,75,4.63,CA,1724458881
150,talnakh,69.4865,88.3972,282.22,92,52,2.63,RU,1724458881
151,isafjordur,66.0755,-23.124,276.35,95,100,8.02,IS,1724458882
152,poyang,28.9924,116.6675,301.91,82,2,2.03,CN,1724458882
153,awjilah,29.1081,21.2869,303.01,54,0,5.37,LY,1724458403
154,fortuna,40.5982,-124.1573,288.66,93,75,5.14,US,1724458884
155,lompoc,34.6391,-120.4579,295.11,64,0,7.2,US,1724458293
156,estancia,-11.2683,-37.4383,293.83,91,0,1.27,BR,1724458739
157,kodiak,57.79,-152.4072,285.88,76,100,2.06,US,1724458885
158,bubaque,11.2833,-15.8333,300.18,86,78,5.64,GW,1724458885
159,afif,23.9065,42.9172,307.02,19,100,1.82,SA,1724458886
160,taro,-8.3862,115.28,293.38,92,81,1.4,ID,1724458887
161,fort-shevchenko,44.5086,50.263,296.47,57,16,6.78,KZ,1724458887
162,kaiyuan,23.6977,103.3037,294.42,92,89,1.31,CN,1724458887
163,prince rupert,54.3161,-130.3201,287.2,89,100,3.09,CA,1724458888
164,sinabang,2.4803,96.3801,297.57,90,100,2.07,ID,1724458403
165,carnarvon,-24.8667,113.6333,294.04,63,19,7.94,AU,1724458242
166,ginir,7.1333,40.7,288.21,78,97,4.72,ET,1724458889
